reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
35e920dc-4208-4ae8-95b5-98487474eecf,MAR W,https://play-lh.googleusercontent.com/a/ACg8ocLhIPqNNLMaxgOCdmlGfyPblD9zuHJ77veGn0I8aCLrAvHUFQ=mo,aplikasi kagak jelas tidak semua info diberikan benar,1,0,1.2025.245,2025-10-09 10:52:04,,,1.2025.245
2faac1eb-3820-4151-8f9d-932fdcbd042d,Absya Al-Nauroh,https://play-lh.googleusercontent.com/a-/ALV-UjVddlZZ8puVwH5NUGZb421Dw7Yry6tbNRqI1bAYXUu6P8MouLkK,bagud,4,0,1.2025.273,2025-10-09 10:51:13,,,1.2025.273
4dc8db15-eff2-4415-9093-f84999e3abdf,Sartia Panjaitan,https://play-lh.googleusercontent.com/a/ACg8ocJUi9FA2hDZbZuVD89EvKXwOZhKjBy9O5w026NflO5FL7pEuw=mo,"Lumayan, tapi harus pakai berlangganan 🙁",3,0,1.2025.273,2025-10-09 10:48:52,,,1.2025.273
f0321cac-3cb2-47f3-ac15-c6f6ef0d94ce,Yudi Gunawan,https://play-lh.googleusercontent.com/a/ACg8ocK3ML9JCvcOew9d_23zzfVwZWhUyOeeu2qbqc8NFrJDAGV3GA=mo,mantap,4,0,1.2025.273,2025-10-09 10:45:16,,,1.2025.273
1512266b-fca7-4f72-9c96-10e1e3cf64c3,Yosua Tipe,https://play-lh.googleusercontent.com/a/ACg8ocLkd5XoiWzXM0KLcUSX5-34_Bk3Mh9ddiHTE2k-Y9XuWwSfUw=mo,ChatGPT merupakan bagian 😃😃😃,5,0,1.2025.273,2025-10-09 10:43:30,,,1.2025.273
7193bfcf-1caa-4def-a6cf-b4a5b6ebb927,Sardi Rizhal,https://play-lh.googleusercontent.com/a-/ALV-UjV4j4B4HJjETqrq3Si5tFD8UEtLRlLontxjdBRm-E2xNrJfLJk,susah loginnya,1,0,1.2025.273,2025-10-09 10:39:06,,,1.2025.273
77df6882-e8e1-456f-8457-2e08370c01a8,Kha Lista,https://play-lh.googleusercontent.com/a/ACg8ocL2BUk1mXpL5zYO4ndBiGlVXeMTTId0L82sSuHv-ww5JnX11Q=mo,sangat bagus,5,0,1.2025.273,2025-10-09 10:35:53,,,1.2025.273
01555cd6-1bb0-4f3f-99d9-03d501c33336,Irvan Ahmad Setiawan,https://play-lh.googleusercontent.com/a/ACg8ocJzkPT--THpZn_Rq62jAtjkDRaDPRtn4CzyxqGJz4jDP7e1jA=mo,apik e poll,5,0,1.2025.273,2025-10-09 10:23:07,,,1.2025.273
31616ba9-4bf4-45ad-8b94-39108e223c07,SYAH _RUL,https://play-lh.googleusercontent.com/a/ACg8ocKxQvtUNFpOtaNx-r4g-BKsEUkFCylzDcdR_MFnqQnKlw_IdA=mo,kurang cepat prosesnya,2,0,1.2025.273,2025-10-09 10:22:57,,,1.2025.273
1eeb1f59-f6a2-420d-a4ac-ecd851624d8e,Erpan bujak Bujak,https://play-lh.googleusercontent.com/a-/ALV-UjWaRWVlNTKuolZux_RIPb_3QaL6RBgviNlCPP6-MxPQj3tmxyRi,bisa di percaya,5,0,1.2025.273,2025-10-09 10:22:41,,,1.2025.273
42e9adf2-59f0-490b-b8aa-6f81f4b81427,Dellano ajahh,https://play-lh.googleusercontent.com/a/ACg8ocJjnOntHCAVRYV0JyH8mqG33khQWLz-tf6xY-8qWHh7zGgnlg=mo,bagus,5,0,1.2025.273,2025-10-09 10:15:37,,,1.2025.273
65132122-7121-418d-8c43-9d97cae3535a,Maximus eriksiano Banda,https://play-lh.googleusercontent.com/a/ACg8ocJfaiZyTkn_g_BKt0NeKjiunG3mV_evwYmsxtN9kNVjyeP_hw=mo,sangat membantu saya dalam tugas sehari hari ⭐⭐⭐⭐⭐👍👍👍,5,0,1.2025.273,2025-10-09 10:15:05,,,1.2025.273
f50972d5-2e56-41d4-bbc6-c7e32ea9448d,Saufa Azzahra,https://play-lh.googleusercontent.com/a/ACg8ocL5-QNsWyvo2KTpXTS0CFPvYJtMIy2kX0ZUpZezsnFToqzRUw=mo,bagussss walaupun kalo balasnya lebih cepat ini cocok di pake org² sihhh,5,0,1.2025.252,2025-10-09 10:14:54,,,1.2025.252
e582c358-3e56-43d4-893f-caa583d6df75,Agung Wisnu,https://play-lh.googleusercontent.com/a/ACg8ocLcUCRsnpv_f_aP0snAOHKiV03PN6veSauiLn0MzPIGv76dxw=mo,membantu,5,0,1.2025.273,2025-10-09 10:11:16,,,1.2025.273
624212bd-dcd0-40cb-817e-eecd52cb7952,Indra riyan gunawan,https://play-lh.googleusercontent.com/a-/ALV-UjX6MLr5LgQA4OktW3GAPIFaNcvOaEjDigXzfWDP0lWqBx1Sdoi8,nice,5,0,1.2025.273,2025-10-09 10:10:31,,,1.2025.273
740ad5d0-eb70-41ed-bffe-f419f8505690,Jannah nur,https://play-lh.googleusercontent.com/a-/ALV-UjWQ4lBxK6YzegMJ3jVW0jgVhPG1pmvEREiJl6rbzDZSH8Ti-uw6,saya suka aplikasi ini,5,0,1.2025.273,2025-10-09 10:09:04,,,1.2025.273
4f3a7f50-985c-4b3e-93e5-433aaa64006c,reyyy 199,https://play-lh.googleusercontent.com/a/ACg8ocIlcVXF21BvvHmlAokRZVUAQQT9-7AjvmMtA4iYK67EpW_2Ew=mo,gajelas jawab ga pernah bener,1,0,1.2025.203,2025-10-09 10:08:34,,,1.2025.203
aa3bd003-1f17-420c-8b67-0e1bfd3009e8,Reza Ajerlin,https://play-lh.googleusercontent.com/a/ACg8ocJmScTZp46UqYWx0PunaMPKMTLlTv_v8fcy1bSSZtLcEEbZvzA=mo,sangat mudah digunakan,5,0,1.2025.273,2025-10-09 09:59:58,,,1.2025.273
f28fc4ea-6d02-42a8-a288-ec61d1e698a3,Julita Haya,https://play-lh.googleusercontent.com/a/ACg8ocIINDBbGSulBLrALl3EgaLqjG53JNDGJEX-7NUMRwQ44X7Ysg=mo,sangat membantu,5,0,1.2025.273,2025-10-09 09:59:48,,,1.2025.273
18b25533-2220-46f4-ac97-8cdd30c07628,Rifatin Atin,https://play-lh.googleusercontent.com/a/ACg8ocIYiS2-IKSlzgiHuLSEf1D6dTt_xw3hbdEiSBKSwH-L4q6eaA=mo,sangat membantu sekali terimakasih,5,0,1.2025.273,2025-10-09 09:58:13,,,1.2025.273
d895ce2c-c498-4a7e-b370-338f1f927885,salsyam gpt,https://play-lh.googleusercontent.com/a-/ALV-UjU-3IuTpJnsB6zfwgwV1i1gcPruML7hUyQByCGoGRxmoLF8Xg,"main chat gpt serasa ngobrol bareng temen cug cocok banget buat gw, makasih min...",5,0,,2025-10-09 09:50:38,,,
2487985b-eeba-42fb-8282-3c02f7c5f01d,Nitha G-Dragon,https://play-lh.googleusercontent.com/a-/ALV-UjXH3flDnwvUIt5jnKJLDBAQS8ViuUvqNACZePt7vOyGQuesC_g,"buruk sekali yang terbaru ini,kaku sekalo gak bisa santai seperti sebelumnya ..",1,0,,2025-10-09 09:49:37,,,
5ebd4c30-0d54-4371-b5ef-ab2ee2be071e,Alsel Alsel (Damzzz),https://play-lh.googleusercontent.com/a-/ALV-UjWdroasPHIGfUAhNs4XRzCioBuukvuutbhqpU1SjK6VDdWL9cYj,bagus banget sebenarnya bisa curhat nanya tentang karier pekerjaan dan pertanyaan random tapi saya harap agar kalau bisa tambahkan fitur voice suara biar tidak ribet harus ngetik manual,4,0,1.2025.238,2025-10-09 09:46:51,,,1.2025.238
